accommodates,amenities,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,,price
2,"{TV,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Hot Tub"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",29,1,Real Bed,1,1,1,strict,2,t,f,1,f,22.53522124,114.0706549,7,0,House,,,,,,Private room,,$99.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door""}",24,1,Real Bed,1,1,1,strict,1,t,f,1,f,22.49204443,114.0865393,1125,9,House,10,10,10,93,10,Private room,,$50.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",25,1,Real Bed,1,1,5,strict,1,t,t,9,f,22.52872103,114.0545873,14,4,House,10,10,10,100,10,Private room,,$49.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",29,1,Real Bed,1,1,5,strict,1,t,t,9,f,22.52923905,114.0560467,1125,7,House,10,10,10,100,10,Private room,,$50.00
2,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,1,1,10,strict,1,t,t,12,f,22.66869503,114.2672541,1825,14,Bed & Breakfast,10,10,9,99,9,Private room,,$55.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",0,1,Real Bed,1,1,1,flexible,0,t,f,1,t,22.71976046,114.2918563,1125,0,Apartment,,,,,,Entire home/apt,,$180.00
2,"{TV,""Air Conditioning"",""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",21,1,Real Bed,1,1,2,moderate,1,t,f,2,f,22.71680528,114.2866005,1125,6,House,10,9,9,87,10,Private room,,$36.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Gym,Breakfast,""Elevator in Building"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,1,1,2,strict,1,t,f,2,f,22.70693173,114.2907163,1125,0,House,,,,,,Private room,,$125.00
6,"{TV,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",0,2,Real Bed,2,2,1,moderate,1,t,f,1,t,22.72125268,114.293152,1125,0,Apartment,,,,,,Entire home/apt,,$59.00
2,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Fire Extinguisher""}",4,1,Real Bed,1,1,2,strict,2,t,t,2,f,22.67515497,114.2960249,1125,4,House,10,10,9,100,10,Private room,,$49.00
2,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",0,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.71302665,114.2854392,1125,0,House,,,,,,Private room,,$40.00
1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",30,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.71100415,114.2808983,1125,0,House,,,,,,Private room,,$150.00
3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",30,1,Real Bed,1,1,1,flexible,3,t,f,1,f,22.71634795,114.2896762,1125,0,House,,,,,,Private room,,$175.00
6,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",19,1,Real Bed,1,2,1,moderate,4,t,f,1,f,22.6973968,114.3019202,30,76,House,10,10,9,94,10,Private room,,$50.00
5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer}",27,2.5,Real Bed,4,4,1,flexible,1,t,f,1,f,22.71445782,114.2899319,1125,0,House,,,,,,Entire home/apt,,$120.00
8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",0,2,Real Bed,3,3,1,flexible,1,t,f,1,f,22.67500569,114.2977102,1125,0,House,,,,,,Entire home/apt,,$450.00
2,"{TV,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Heating,Shampoo}",19,1.5,Real Bed,1,2,2,strict,2,t,t,2,f,22.67462836,114.293782,28,14,House,10,10,9,99,10,Private room,,$49.00
2,"{TV,""Air Conditioning"",""Free Parking on Premises"",Heating,Washer,Dryer,""Fire Extinguisher""}",29,1,Real Bed,1,1,2,moderate,1,t,f,2,f,22.71696549,114.2869293,1125,8,House,9,8,9,83,9,Private room,,$36.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,1,1,2,strict,1,t,f,2,f,22.70840329,114.2907472,1125,1,House,10,10,10,100,8,Private room,,$75.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer""}",30,1,Airbed,1,1,1,flexible,1,t,f,2,f,22.70389784,114.325881,1125,1,House,8,8,4,60,8,Private room,,$50.00
2,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,Shampoo}",30,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.71518174,114.2954179,1125,0,House,,,,,,Private room,,$70.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",23,1.5,Real Bed,1,1,1,flexible,2,t,f,1,f,22.68518077,114.3302864,1125,0,House,,,,,,Private room,,$36.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,1,1,1,flexible,1,t,f,2,f,22.74245886,114.2989583,1125,0,House,,,,,,Private room,,$110.00
1,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",0,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.7088574,114.2789097,1125,0,House,,,,,,Private room,,$200.00
1,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door""}",7,1.5,Real Bed,1,1,1,moderate,1,t,t,1,f,22.71334919,114.2925267,1125,16,House,10,10,9,93,9,Private room,,$34.00
4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Gym,Breakfast,""Elevator in Building"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",30,1,Real Bed,1,1,1,flexible,4,t,f,1,f,22.72080476,114.0676658,1125,2,Townhouse,9,10,10,100,10,Private room,,$59.00
2,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Dryer}",30,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.68743222,114.0313216,1125,0,House,,,,,,Private room,,$155.00
10,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",22,3.5,Real Bed,4,5,2,strict,1,t,f,301,f,22.73201262,114.0614042,1125,1,House,10,10,10,80,10,Entire home/apt,,$700.00
12,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",25,3.5,Real Bed,4,5,2,strict,1,t,f,301,f,22.73179758,114.049507,1125,0,House,,,,,,Entire home/apt,,$819.00
10,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",0,2,Real Bed,3,3,7,strict,1,t,f,339,f,22.73605066,114.0597691,165,2,House,8,10,10,80,8,Entire home/apt,,"$1,200.00"
8,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Indoor Fireplace"",""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer}",30,4.5,Real Bed,4,4,1,strict,10,t,f,1,f,22.72387534,114.0306998,1125,6,House,9,8,9,87,7,Entire home/apt,,"$1,250.00"
2,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",26,1,Real Bed,1,1,1,strict,1,t,f,1,t,22.74740068,114.0687079,1125,1,Apartment,,,,,,Private room,,$250.00
6,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Suitable for Events"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,1,2,1,flexible,1,t,f,1,f,22.73319908,114.060818,1125,0,Bed & Breakfast,,,,,,Private room,,$300.00
8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",0,4,Real Bed,4,5,1,flexible,1,t,f,1,f,22.71401944,114.0601983,1125,0,House,,,,,,Entire home/apt,,$800.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",25,1,Real Bed,1,1,2,strict,2,t,t,2,t,22.73399907,114.0531357,30,9,House,10,10,10,100,10,Private room,,$85.00
8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",21,4,Real Bed,4,5,1,moderate,1,t,f,1,f,22.69722697,114.052588,1125,0,House,,,,,,Entire home/apt,,$600.00
5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",25,2.5,Real Bed,4,3,1,flexible,1,t,f,1,f,22.71241256,114.045691,1125,1,House,10,10,10,80,10,Entire home/apt,,$200.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",0,1,Real Bed,1,1,1,flexible,1,t,f,1,t,22.72286142,114.0672642,1125,0,Condominium,,,,,,Private room,,"$1,000.00"
16,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",26,6,Real Bed,6,9,6,strict,12,t,f,14,f,22.68144348,114.0143327,1125,0,House,,,,,,Entire home/apt,,"$1,650.00"
8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",21,2.5,Real Bed,3,4,2,strict,1,t,f,301,f,22.73210581,114.0503709,1125,0,House,,,,,,Entire home/apt,,$629.00
8,"{TV,""Air Conditioning"",Kitchen,""Pets Allowed"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",6,2,Real Bed,3,3,1,flexible,2,t,f,2,t,22.75620409,114.0514204,1125,3,House,8,10,10,100,8,Entire home/apt,,$225.00
8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",15,3,Real Bed,3,4,2,strict,1,t,f,301,f,22.73561217,114.0588531,1125,1,House,10,10,10,80,10,Entire home/apt,,$469.00
8,{},30,,Real Bed,4,,1,flexible,1,t,f,1,f,22.67716895,114.0159925,1125,0,House,,,,,,Entire home/apt,,"$1,500.00"
16,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",23,2,Real Bed,4,12,1,strict,16,t,f,1,f,22.66825363,114.022046,1125,7,House,10,9,9,97,10,Entire home/apt,,$565.00
7,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Dryer,Essentials}",22,3,Real Bed,3,4,1,flexible,1,t,f,1,f,22.66967864,114.0167261,14,0,House,,,,,,Entire home/apt,,$250.00
7,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",30,2.5,Real Bed,4,3,1,flexible,1,t,f,1,f,22.71344248,114.0446966,1125,0,House,,,,,,Entire home/apt,,$499.00
16,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",26,3,Real Bed,5,11,1,strict,4,t,f,1,f,22.66980807,114.0241556,30,4,House,10,10,10,100,10,Entire home/apt,,$599.00
4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",11,1,Real Bed,2,2,1,moderate,0,t,f,1,f,22.75658034,114.0544827,1125,15,Apartment,10,10,10,100,10,Entire home/apt,,$149.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",26,1,Real Bed,1,1,2,strict,2,t,t,2,f,22.73211699,114.0513121,30,10,House,10,10,10,100,10,Private room,,$85.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo}",17,1,Real Bed,1,1,1,flexible,0,t,f,1,t,22.56416471,114.0273193,30,0,Bungalow,,,,,,Private room,,$110.00
1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",0,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.56292109,114.0319698,1125,2,House,9,10,10,90,10,Private room,,$48.00
2,"{TV,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door""}",25,1,Real Bed,1,1,1,moderate,2,t,f,1,f,22.54492916,114.0184038,1125,0,House,,,,,,Private room,,$89.00
6,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",7,1,Real Bed,2,2,1,strict,2,t,t,1,f,22.55284245,113.9781549,14,54,Bed & Breakfast,10,10,10,100,10,Entire home/apt,,$165.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Hot Tub"",Heating}",29,1,Real Bed,1,1,1,moderate,1,t,t,1,f,22.55528033,113.9613925,1125,19,House,10,10,10,97,9,Entire home/apt,,$115.00
12,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",29,2.5,Real Bed,6,8,2,strict,1,t,f,301,f,22.55859638,113.9655893,1125,0,House,,,,,,Entire home/apt,,$909.00
4,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",29,1,Real Bed,1,1,1,strict,2,t,f,1,f,22.54827745,113.9939691,1125,2,Cabin,10,10,10,100,10,Entire home/apt,,$135.00
3,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Other pet(s)"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",13,1,Real Bed,0,1,1,moderate,2,t,f,1,f,22.51750542,114.0064164,1125,4,House,10,10,10,100,10,Entire home/apt,,$75.00
3,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher""}",20,1,Real Bed,1,2,1,moderate,3,t,t,1,t,22.49800707,114.0007941,7,38,House,10,10,10,96,9,Entire home/apt,,$145.00
2,"{""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",27,1,Real Bed,1,1,1,moderate,2,t,f,1,f,22.56096683,113.9365849,1125,20,Apartment,10,10,10,100,10,Entire home/apt,,$125.00
6,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",30,2,Real Bed,3,3,1,moderate,1,t,f,1,f,22.55799435,114.045151,1125,1,House,10,10,8,91,8,Entire home/apt,,$350.00
